address,error_count,percentage
0xe72ae839938bc3d3521520e343686f8d98a8d0a8,7826,29.74
0x2eac97e9ce1ccdf67540d1bec1cc7883505163a0,6128,23.29
0x293e238a317811377d2bd7afb878d9b061703a04,3158,12.0
0xacf7b22b515d4716e1d1ae0487bbf6ac6c252557,1611,6.12
0x1f0efa15e9cb7ea9596257da63fecc36ba469b30,1425,5.42
0x785315e4c13cf35a204c6bb345ccafbe1aff137b,1424,5.41
0x29c0eaedd6f8330413070368f6437f6f2809d5e9,1096,4.17
0xd83eb4812703bd0fe253958bb0e3ee2a09f87ce1,650,2.47
0xbd7b8ab4c13291e31cf5d908729de0207a4d3f84,523,1.99
0xec2d315509ab45d2683163a5ac70461cf508ff0d,194,0.74
0xb69d027fb3385dbd0496d7317d2e27fc75be76b9,193,0.73
0xc2d136d09146583667127b8e27c5bde4ec4cf604,185,0.7
0x89da9412d6e256b849873768ff18af888c0a1fa3,182,0.69
0xc3244d1faf58b400e8b9e8bd84669b97f651bb79,182,0.69
0xd29776b83d0c200e0150890618825cbf6fec535e,180,0.68
0xe863d087d23e819a76f9c83a304388d3fe7a8c86,170,0.65
0xadeda22dee105c611fb27f46b053ca2a7a905a56,149,0.57
0xd6a8e8608a4ed113ba6ce4a760f514441234047a,147,0.56
0x4fd74d2f569c65787d36532aec76ff5f87351772,144,0.55
0xf6443414b7b7dc77b2f633ac83395dbfac03f39d,129,0.49
0xef3c6c1485ae50b0fb93bc67ff666737adc3381a,128,0.49
0xa5ddbfd7ef47693ce5b7d9b9f7a9cf38d7354dfc,123,0.47
0x2efac63b94bf0b9cc7a8a55a90b2f39156dda60c,82,0.31
0xc6831b00f503baea516806e001186e1f1a6c9e13,72,0.27
0x25963ba99325035c194ea2e83f17632191f40f21,60,0.23
0x3808ff4e8ea5306c1cc52ea7cdd48a88be14cfdb,45,0.17
0x77656e5599911113a2ae624d80cf1f04e17ae4ac,35,0.13
0x1f0ef8d07a04e012378a9908fb3e0dc05955cb31,34,0.13
0x1e6b56886f3fec9ac38538eb40524a0b430b924c,26,0.1
0xa05170b26840d4f4c9edd88b2b268ca53eced6fe,10,0.04
0x641df32a4e4b19867c8e2b76309f4b057a87b9d1,2,0.01
